key_resp_4.keys,key_resp_4.rt,身分證字號,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,cont.keys,cont.rt,retry_testing.thisRepN,retry_testing.thisTrialN,retry_testing.thisN,retry_testing.thisIndex,retry_testing.ran,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,from,to,w,a,sequence_loop.thisN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_2.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisIndex,sequence_loop.ran
return,1.5988,123,2024-08-05_15h30.14.246,GoFitts,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,123,2024-08-05_15h30.14.246,GoFitts,2022.2.4,Win32,59.88023952,"[-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-152.6666259765625,-150.6666259765625,-150,-150,-150,-134,-103.333251953125,-68,-42.6666259765625,-20,2.666748046875,28,54.666748046875,78,116.666748046875,142,164,180.666748046875,194.666748046875,208.666748046875,225.3333740234375,238,249.3333740234375,264.666748046875,276,286,304,320.666748046875,338.666748046875,351.3333740234375,360,367.3333740234375,370.666748046875,371.3333740234375,371.3333740234375,371.3333740234375,371.3333740234375,370.666748046875,367.3333740234375,364.666748046875,361.3333740234375,357.3333740234375,354,351.3333740234375,350.666748046875,350,349.3333740234375,349.3333740234375,338.666748046875,310,242,184,101.3333740234375,33.3333740234375,-9.333251953125,-26.6666259765625,-28,-28.6666259765625,-28.6666259765625,-25.333251953125,-22.6666259765625,-21.333251953125,-17.333251953125,-14,-12,-10,-8,-4.6666259765625,-3.333251953125,-3.333251953125,-3.333251953125,-3.333251953125,-3.333251953125,-2.6666259765625,-2,0.666748046875,2,3.3333740234375,3.3333740234375,3.3333740234375,3.3333740234375,0,-11.333251953125,-30,-63.333251953125,-109.333251953125,-172.6666259765625,-208,-242.6666259765625,-269.33331298828125,-288,-300,-311.33331298828125,-322.6666259765625,-334,-345.33331298828125,-354,-356.6666259765625,-357.33331298828125,-357.33331298828125,-357.33331298828125,-357.33331298828125,-357.33331298828125,-357.33331298828125,-357.33331298828125,-358,-359.33331298828125,-360,-359.33331298828125,-347.33331298828125,-332.6666259765625,-303.33331298828125,-245.333251953125,-193.333251953125,-142,-96,-52,-24,-5.333251953125]","[-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-102,-98,-92,-88,-83.3333740234375,-80,-79.3333740234375,-79.3333740234375,-79.3333740234375,-78,-74.66668701171875,-72.66668701171875,-69.3333740234375,-64,-58,-55.3333740234375,-52,-49.3333740234375,-47.3333740234375,-43.3333740234375,-40,-37.3333740234375,-34.66668701171875,-31.3333740234375,-26,-20,-12.66668701171875,-5.3333740234375,2,6.6666259765625,9.33331298828125,9.33331298828125,10.6666259765625,10.6666259765625,10.6666259765625,10.6666259765625,10,8,6,4,3.33331298828125,2.6666259765625,2.6666259765625,2.6666259765625,19.33331298828125,61.33331298828125,216.66665649414062,308,392.6666564941406,459.33331298828125,496,504.6666564941406,504.6666564941406,504.6666564941406,500.6666564941406,490.6666564941406,478,466.6666564941406,442,424.6666564941406,404.6666564941406,382.6666564941406,364,348.6666564941406,343.33331298828125,342,342,342,338.6666564941406,337.33331298828125,336.6666564941406,336.6666564941406,337.33331298828125,339.33331298828125,340.6666564941406,341.33331298828125,343.33331298828125,343.33331298828125,340,328,301.33331298828125,262,191.33331298828125,144,108,70,38,19.33331298828125,8,2,-0.66668701171875,-2.66668701171875,-4,-4.66668701171875,-5.3333740234375,-6,-6,-6,-6,-6,-6,-7.3333740234375,-8,-9.3333740234375,-11.3333740234375,-22,-34.66668701171875,-60,-106,-154.66668701171875,-198.66668701171875,-242,-282,-310.666748046875,-331.3333740234375]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0004999999999997229,0.011699999999255084,0.025500000000000078,0.042399999998510296,0.05989999999851037,0.07579999999702025,0.09289999999850984,0.10889999999850986,0.12559999999776483,0.14250000000000007,0.15889999999850968,0.1757999999970199,0.19229999999701963,0.20879999999702026,0.22550000000000026,0.242,0.2591999999992547,0.2755999999977652,0.2927999999970199,0.3095000000000008,0.32569999999925425,0.34229999999702,0.3590999999977642,0.37569999999925496,0.39289999999850966,0.40929999999702016,0.42559999999776554,0.44279999999702024,0.45919999999925576,0.47589999999850985,0.4925999999977657,0.5093999999985099,0.5257999999970204,0.5424999999999995,0.5590999999977653,0.5757999999970194,0.5926999999992555,0.6093999999985096,0.625699999999255,0.6425999999977643,0.6589999999999998,0.6756999999992557,0.6924999999999999,0.7095999999977645,0.726,0.7423999999985105,0.7592999999970198,0.7757999999970204,0.7926999999992548,0.8095000000000008,0.8255999999977641,0.84229999999702,0.8590000000000009,0.8760999999977654,0.8929999999999998,0.9090999999977649,0.925799999997019,0.942599999997765,0.9592999999970191,0.9757999999970197,0.9925999999977657,1.00939999999851,1.0256999999992553,1.0426999999992548,1.0592999999970205,1.0757999999970194,1.0925000000000002,1.1091999999992543,1.1258999999985102,1.1426999999992544,1.1589999999999998,1.1759999999999993,1.193299999997019,1.2093999999985092,1.2256999999992546,1.2425000000000006,1.2590999999977646,1.2760999999977658,1.2930000000000001,1.309599999997764,1.32629999999702,1.3428999999985107,1.3592999999970194,1.3760999999977654,1.393099999997765,1.4092999999970202,1.4258999999985091,1.442599999997765,1.4590999999977656,1.476,1.4927999999970192,1.5091999999992547,1.5255,1.542199999999256,1.55889999999851,1.5759999999999996,1.5926999999992555,1.6092999999970194,1.62579999999702,1.6425999999977643,1.6593999999985103,1.6758999999985091,1.6923999999985098,1.7090999999977656,1.7256999999992546,1.7425000000000006,1.7590999999977646,1.7758999999985106,1.7931999999992554,1.809599999997764,1.8258999999985095,1.8425000000000002,1.8590999999977642,1.8758999999985102,1.8925999999977643,1.9093999999985103,1.9258999999985091,1.9427999999970202,1.96,1.9758999999985098,1.9928999999985093,2.00929999999702,2.026199999999256,2.042099999997766,2.0590999999977653,2.075599999997764,2.09239999999851,2.1091999999992543,2.1261999999992556,2.142500000000001,2.159,2.1756999999992557,2.1922999999970196,2.2088999999985104,2.2257999999970197,2.2425999999977657,2.25929999999702,2.276099999997766,2.2925999999977646,2.3095000000000008,2.3265000000000002,2.3426999999992555]",return,0.9976,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,123,2024-08-05_15h30.14.246,GoFitts,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,return,0.5491,,,,,,,,,,,,,,,,,,,,,,,
,,123,2024-08-05_15h30.14.246,GoFitts,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,return,0.4172,"[65.3333740234375,-128]","[-99.99999999999996,173.20508075688775]",48,400,0,"[65.3333740234375,62.666748046875,62,61.3333740234375,60,59.3333740234375,59.3333740234375,59.3333740234375,58.666748046875,58.666748046875,58.666748046875,58.666748046875,58.666748046875,58.666748046875,58.666748046875,58.666748046875,58.666748046875,58.666748046875,58.666748046875,58,57.3333740234375,54,44,8,-29.333251953125,-54,-66.6666259765625,-71.333251953125,-75.333251953125,-78,-78,-78,-78,-83.333251953125,-100.6666259765625,-113.333251953125,-120,-121.333251953125,-121.333251953125,-121.333251953125]","[-128,-126.66668701171875,-125.3333740234375,-124.66668701171875,-123.3333740234375,-122.66668701171875,-122.66668701171875,-122.66668701171875,-122,-122,-122,-122,-122,-122,-122,-120.66668701171875,-120.66668701171875,-118.66668701171875,-116.66668701171875,-114.66668701171875,-113.3333740234375,-102.66668701171875,-86.66668701171875,-30.66668701171875,21.33331298828125,59.33331298828125,80.6666259765625,92,98.6666259765625,102,102.6666259765625,102.6666259765625,104,110.6666259765625,135.33331298828125,150,159.33331298828125,161.33331298828125,161.33331298828125,162.6666259765625]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0010999999977645558,0.027300000000744618,0.04399999999999871,0.05139999999850886,0.07699999999999996,0.09369999999925405,0.10839999999850924,0.127099999997764,0.13449999999999918,0.16030000000074374,0.16730000000074519,0.1936999999992537,0.200599999997765,0.22689999999851018,0.23419999999925523,0.2604999999999986,0.2705000000000002,0.2831999999992547,0.3103000000007441,0.3274999999999988,0.3355999999977648,0.36139999999850936,0.3695999999977637,0.3945999999977641,0.41080000000074435,0.4275000000000002,0.44439999999850954,0.4606999999992549,0.47749999999999915,0.4944999999999986,0.5108999999985091,0.5280999999977638,0.5443000000007441,0.5523999999985101,0.5770999999977651,0.5935999999977639,0.6103000000007448,0.6273000000007443,0.6436999999992548,0.6603999999985088]",,0,0,0,0,1,,,,
,,123,2024-08-05_15h30.14.246,GoFitts,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,"[-99.99999999999996,173.20508075688775]","[133.82612127177168,-148.6289650954788]",48,400,0,"[-121.333251953125,-119.333251953125,-118,-116.6666259765625,-116,-116,-116,-111.333251953125,-111.333251953125,-96,-81.333251953125,-72,-60.6666259765625,-49.333251953125,-35.333251953125,-24,7.3333740234375,30.666748046875,41.3333740234375,66,89.3333740234375,92.666748046875,93.3333740234375,93.3333740234375,94,94,95.3333740234375,96,98,98.666748046875,100.666748046875,102.666748046875,104.666748046875,106,107.3333740234375,109.3333740234375,112.666748046875,116.666748046875]","[162.6666259765625,165.33331298828125,167.33331298828125,169.33331298828125,171.33331298828125,171.33331298828125,171.33331298828125,172,172,164.6666259765625,156,150,139.33331298828125,118,84,55.33331298828125,-28,-84,-105.3333740234375,-143.3333740234375,-172.66668701171875,-176.66668701171875,-176.66668701171875,-176.66668701171875,-177.3333740234375,-176.66668701171875,-172.66668701171875,-168.66668701171875,-161.3333740234375,-156.66668701171875,-151.3333740234375,-147.3333740234375,-144,-141.3333740234375,-139.3333740234375,-137.3333740234375,-135.3333740234375,-134]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0003000000007453707,0.016500000000000625,0.02370000000298056,0.04980000000074547,0.0663000000007461,0.08290000000223507,0.09010000000148999,0.11630000000074503,0.12310000000148946,0.1443000000007455,0.16650000000000098,0.18299999999999983,0.19950000000000045,0.21690000000223542,0.23090000000223476,0.23980000000074497,0.2664000000022355,0.28370000000298035,0.291500000000001,0.30610000000149107,0.33410000000148976,0.34970000000298107,0.36690000000223577,0.38400000000000034,0.3922000000029797,0.41710000000148995,0.4344000000022348,0.4504000000022348,0.4672000000029808,0.48370000000297964,0.5005000000000006,0.5177000000029803,0.5341000000014908,0.5503000000007461,0.5664999999999996,0.5839999999999996,0.6007000000029805,0.6174999999999997]",,1,0,1,0,1,,,,
,,123,2024-08-05_15h30.14.246,GoFitts,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,"[133.82612127177168,-148.6289650954788]","[-161.80339887498945,117.55705045849464]",48,400,0,"[116.666748046875,118.666748046875,120,121.3333740234375,122,126.666748046875,130,134.666748046875,136,136,136,136,136,136,132.666748046875,121.3333740234375,95.3333740234375,59.3333740234375,33.3333740234375,12,-6,-18,-27.333251953125,-32.6666259765625,-36.6666259765625,-43.333251953125,-64,-73.333251953125,-96.6666259765625,-134,-152,-164,-168,-169.333251953125,-170]","[-134,-134,-134,-134,-134.66668701171875,-138,-140,-142,-142.66668701171875,-142.66668701171875,-142.66668701171875,-142.66668701171875,-142.66668701171875,-142.66668701171875,-142.66668701171875,-140.66668701171875,-120.66668701171875,-71.3333740234375,-28,4.6666259765625,22,32.6666259765625,36,38,40,41.33331298828125,45.33331298828125,47.33331298828125,54,67.33331298828125,76,84,88,91.33331298828125,96]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0003000000007453707,0.016300000000745385,0.032899999998509344,0.05000000000000071,0.0583000000007452,0.0835000000000008,0.10009999999776475,0.11639999999851014,0.13280000000074565,0.14949999999999974,0.15719999999925527,0.17130000000074475,0.20030000000074466,0.21659999999776502,0.22559999999776537,0.2386999999992554,0.26689999999850933,0.2831999999992547,0.29969999999925534,0.3163000000007461,0.3326999999992548,0.34919999999925544,0.3661999999992549,0.38280000000074565,0.399699999999255,0.41549999999999976,0.4350000000000005,0.4493999999985103,0.46459999999776436,0.48309999999776565,0.49969999999925463,0.5165999999977657,0.532800000000746,0.5498000000007455,0.5663999999985094]",,2,0,2,0,1,,,,
,,123,2024-08-05_15h30.14.246,GoFitts,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,"[-161.80339887498945,117.55705045849464]","[182.7090915285202,-81.34732861516002]",48,400,0,"[-170,-170,-170,-170,-165.333251953125,-162.6666259765625,-148.6666259765625,-141.333251953125,-138,-138,-138,-138,-138,-138,-124,-100,-57.333251953125,-16,5.3333740234375,78.666748046875,102,115.3333740234375,119.3333740234375,120.666748046875,121.3333740234375,122,124,125.3333740234375,128.666748046875,128.666748046875,128.666748046875,130.666748046875,150.666748046875,164.666748046875]","[96,99.33331298828125,99.33331298828125,99.33331298828125,102,102.6666259765625,106,106.6666259765625,108,108,108,108,108,108,94,71.33331298828125,38.6666259765625,9.33331298828125,-4.66668701171875,-36.66668701171875,-44.66668701171875,-50.66668701171875,-52.66668701171875,-54,-54,-54.66668701171875,-55.3333740234375,-56,-57.3333740234375,-57.3333740234375,-57.3333740234375,-58,-67.3333740234375,-74.66668701171875]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00039999999851048074,0.015599999997764513,0.03209999999776514,0.03969999999925555,0.0662999999970193,0.07529999999701964,0.09979999999701938,0.11589999999850953,0.13289999999851076,0.14919999999925437,0.15700000000000003,0.17119999999925462,0.1996999999992557,0.2080999999977653,0.23019999999925567,0.24989999999850987,0.26629999999702036,0.2829999999999995,0.29169999999925444,0.31649999999999956,0.33339999999851067,0.34969999999925605,0.3655000000000008,0.38229999999702,0.3993999999985096,0.4161999999992556,0.43309999999776494,0.44149999999999956,0.4663999999985098,0.4745000000000008,0.49979999999701974,0.508099999997766,0.53339999999851,0.5495999999977652]",,3,0,3,0,1,,,,
,,123,2024-08-05_15h30.14.246,GoFitts,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,"[182.7090915285202,-81.34732861516002]","[-195.62952014676114,41.58233816355186]",48,400,0,"[164.666748046875,174,178,180.666748046875,183.3333740234375,186.666748046875,188,189.3333740234375,189.3333740234375,190,195.3333740234375,198.666748046875,199.3333740234375,199.3333740234375,192,176.666748046875,158.666748046875,136.666748046875,101.3333740234375,68.666748046875,19.3333740234375,-24,-50,-71.333251953125,-89.333251953125,-104,-115.333251953125,-125.333251953125,-135.333251953125,-140.6666259765625,-143.333251953125,-145.333251953125,-148,-157.333251953125,-164.6666259765625,-170.6666259765625,-176.6666259765625]","[-74.66668701171875,-80.66668701171875,-82,-84,-86,-88,-88,-89.3333740234375,-89.3333740234375,-89.3333740234375,-90.66668701171875,-92,-92.66668701171875,-92.66668701171875,-92.66668701171875,-90.66668701171875,-86,-77.3333740234375,-64,-50,-34,-24.66668701171875,-20,-16,-12,-10.66668701171875,-8.66668701171875,-8,-7.3333740234375,-7.3333740234375,-6.66668701171875,-6,-4,2.6666259765625,11.33331298828125,18,27.33331298828125]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0003000000007453707,0.015899999998509884,0.03239999999850873,0.04910000000148962,0.06560000000149024,0.08269999999925481,0.09919999999925544,0.11580000000074442,0.13250000000000028,0.14899999999999913,0.1661000000014905,0.18299999999999983,0.1999999999999993,0.21619999999925454,0.23380000000074475,0.2494999999999994,0.2663999999985087,0.2831000000014896,0.3006000000014897,0.3171000000014903,0.32580000000074527,0.3506000000014904,0.36669999999925373,0.38369999999925497,0.40030000000074395,0.4168999999985097,0.43360000000149057,0.45019999999925453,0.4668999999985086,0.4836000000014895,0.5001000000014901,0.5166999999992541,0.5336000000014902,0.5504999999999995,0.5671000000014903,0.5838999999985095,0.6003999999985101]",,4,0,4,0,1,,,,
,,123,2024-08-05_15h30.14.246,GoFitts,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,"[-195.62952014676114,41.58233816355186]","[200,0]",48,400,0,"[-176.6666259765625,-183.333251953125,-188,-190.6666259765625,-193.333251953125,-193.333251953125,-193.333251953125,-193.333251953125,-193.333251953125,-193.333251953125,-192,-156.6666259765625,-121.333251953125,-67.333251953125,-10,53.3333740234375,92,114.666748046875,126.666748046875,128.666748046875,132,133.3333740234375,133.3333740234375,134,134,134,134,134,137.3333740234375,158,166.666748046875,178.666748046875]","[27.33331298828125,37.33331298828125,42.6666259765625,45.33331298828125,47.33331298828125,47.33331298828125,47.33331298828125,47.33331298828125,47.33331298828125,47.33331298828125,48,38,32,25.33331298828125,25.33331298828125,22.6666259765625,22.6666259765625,21.33331298828125,21.33331298828125,21.33331298828125,22.6666259765625,23.33331298828125,23.33331298828125,23.33331298828125,23.33331298828125,23.33331298828125,23.33331298828125,23.33331298828125,23.33331298828125,15.33331298828125,12,8]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0003999999985087044,0.01729999999701981,0.033399999998509955,0.049799999997018674,0.06649999999999956,0.08300000000000018,0.09849999999999959,0.10669999999925395,0.12069999999925507,0.1483999999985084,0.15679999999701977,0.1832999999970184,0.1999999999999993,0.21619999999925454,0.23129999999701845,0.24919999999925402,0.2661999999992535,0.28009999999776447,0.3002999999970193,0.3089999999999993,0.33379999999701937,0.35029999999702,0.36469999999925484,0.37349999999999994,0.4001999999992538,0.4146999999992538,0.4231999999992535,0.4475999999977649,0.4554999999999989,0.4813999999985086,0.4898999999985101,0.5169999999999995]",,5,0,5,0,1,,,,
,,123,2024-08-05_15h30.14.246,GoFitts,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,"[200,0]","[-195.62952014676114,-41.58233816355181]",48,400,0,"[178.666748046875,182.666748046875,189.3333740234375,194.666748046875,201.3333740234375,204.666748046875,204.666748046875,204.666748046875,204.666748046875,204.666748046875,199.3333740234375,192.666748046875,175.3333740234375,114.666748046875,57.3333740234375,0,-48,-72,-92,-143.333251953125,-155.333251953125,-162,-164.6666259765625,-166.6666259765625,-170.6666259765625,-180]","[8,5.33331298828125,2,-0.66668701171875,-2,-2.66668701171875,-2.66668701171875,-2.66668701171875,-2.66668701171875,-3.3333740234375,-4.66668701171875,-4.66668701171875,-5.3333740234375,-5.3333740234375,-13.3333740234375,-23.3333740234375,-34,-38,-40.66668701171875,-54.66668701171875,-57.3333740234375,-58,-58.66668701171875,-58.66668701171875,-58.66668701171875,-58.66668701171875]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00030000000074359434,0.015699999999254644,0.03230000000074362,0.04889999999850936,0.06610000000148908,0.0826000000014897,0.09899999999999842,0.11580000000074442,0.13230000000074504,0.14089999999850988,0.16449999999999854,0.1833000000007452,0.192499999999999,0.21630000000074467,0.23280000000074352,0.2491000000014889,0.2658000000007448,0.2743999999985096,0.2873000000007444,0.31599999999999895,0.3316999999992536,0.3484999999999996,0.3658000000007444,0.3828000000007439,0.3993000000007427,0.415499999999998]",,6,0,6,0,1,,,,
