key_resp_4.keys,key_resp_4.rt,身分證字號,date,expName,psychopyVersion,OS,frameRate,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,cont.keys,cont.rt,retry_testing.thisRepN,retry_testing.thisTrialN,retry_testing.thisN,retry_testing.thisIndex,retry_testing.ran,key_resp.keys,key_resp.rt,key_resp_3.keys,key_resp_3.rt,from,to,w,a,sequence_loop.thisN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,key_resp_2.keys,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisIndex,sequence_loop.ran
return,1.6736,A000000000,2022-11-28_21h47.54.963,GoFitts,2022.2.4,Win32,75.43184733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A000000000,2022-11-28_21h47.54.963,GoFitts,2022.2.4,Win32,75.43184733,"[117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,121,126,128,129,127,125,121,116,110,104,99,97,97,102,115,136,156,191,214,235,253,263,269,272,273,273,273,273,276,284,290,296,304,315,324,331,334,336,338,338,338,338,338,338,338,338,338,338,338,338,334,320,298,259,216,170,127,96,71,54,43,37,28,23,19,15,11,6,2,-2,-6,-8,-9,-9,-9,-9,-9,-9,-10,-10,-10,-10,-10,-13,-20,-33,-49,-70,-92,-117,-144,-165,-190,-209,-222,-232,-240,-246,-252,-258,-263,-270,-276,-287,-295,-303,-309,-315,-323,-330,-337,-344,-351,-356,-359,-359,-359,-359,-359,-358,-353,-348,-327,-299,-259,-223,-184,-146,-118,-91,-74,-63,-57,-54,-51,-50,-49,-48,-48,-47,-46,-44,-42,-38,-34,-30,-27,-24,-19,-17,-13,-12,-11,-9,-7]","[3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,7,9,13,17,21,25,29,32,32,33,35,37,38,38,37,36,33,30,27,26,25,24,24,24,24,22,21,18,17,16,14,13,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,28,56,106,160,213,258,287,310,324,333,338,345,348,351,354,356,358,360,360,360,360,360,360,360,360,360,360,360,353,344,318,288,259,233,211,193,175,157,139,121,108,92,82,76,70,66,62,59,57,54,50,47,41,37,33,31,29,25,22,18,15,11,8,6,6,5,5,4,1,-5,-9,-23,-39,-64,-90,-118,-154,-188,-219,-242,-258,-269,-276,-281,-284,-286,-288,-288,-289,-290,-293,-297,-301,-305,-307,-311,-315,-319,-321,-325,-327,-328,-331,-334]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0012999999821188268,0.010699999988078801,0.020999999999999908,0.03439999997615839,0.04739999997615829,0.05769999998807851,0.07119999998807902,0.08739999997615833,0.09759999999403934,0.11419999998807917,0.1274999999999995,0.13779999998211867,0.15149999999999952,0.16749999999999954,0.18079999998211882,0.19099999999999984,0.20459999999403955,0.22100000000000009,0.23099999999999987,0.24419999998807906,0.2606999999880788,0.2710999999940391,0.2841999999880791,0.2975999999940395,0.31099999999999994,0.3274999999999997,0.34069999998807887,0.3541999999880785,0.3672999999821185,0.3810000000000002,0.39419999998807853,0.40759999999403895,0.42049999999999965,0.43100000000000005,0.44719999998807847,0.4605999999940398,0.47389999997615817,0.4871999999880785,0.5007999999821182,0.5138999999761582,0.5273999999761578,0.5375999999940397,0.5540999999940395,0.5642999999821185,0.580599999994039,0.5939999999999994,0.6075999999940391,0.6208999999761575,0.6339999999999995,0.6472999999821187,0.6607999999821184,0.6739999999999995,0.6875,0.7006999999880792,0.7147999999821186,0.7272999999821188,0.7405999999940391,0.7539999999999996,0.7641999999880786,0.7774999999999999,0.7907999999821183,0.8073999999761581,0.8174999999999999,0.8340999999940397,0.8441999999880787,0.8573999999761579,0.8708999999761575,0.8840999999940395,0.9006999999880785,0.9138999999761577,0.9275999999940394,0.9407999999821186,0.9537999999821185,0.9672999999821181,0.9805999999940394,0.9939999999999998,1.008699999988079,1.0205999999940394,1.0309999999999997,1.0473999999761583,1.0606999999880786,1.0737999999821186,1.0877999999821188,1.1007999999821187,1.1138999999761579,1.127199999988079,1.1406999999880787,1.1542999999821184,1.1673999999761584,1.1776999999880786,1.1908999999761578,1.2042999999821182,1.220899999976158,1.234,1.244199999988079,1.260899999976158,1.274,1.284199999988079,1.3003999999761575,1.314,1.3272999999821185,1.3405000000000005,1.3539999999999992,1.3672999999821176,1.3808999999761582,1.3940000000000001,1.4072999999821185,1.4205999999940389,1.4307999999821188,1.4473999999761578,1.460699999988078,1.4738999999761582,1.4871999999880785,1.5008999999761574,1.5140999999940394,1.5271999999880794,1.5404999999999998,1.5537999999821182,1.5672999999821187,1.577699999988079,1.5938999999761574,1.607399999976158,1.6206999999880782,1.6338999999761583,1.6471999999880778,1.6605999999940382,1.6739999999999986,1.6871999999880787,1.700499999999999,1.715099999994039,1.7273999999761562,1.7405999999940382,1.7539999999999987,1.764399999976157,1.7805999999940392,1.7910999999940378,1.8088999999761564,1.8212999999821173,1.8353999999761568,1.8478999999761578,1.8611999999880782,1.874099999994038,1.887299999982118,1.9008999999761569,1.9139999999999988,1.9274999999999993,1.9407999999821177,1.954099999994038,1.9674999999999985,1.9807999999821169,1.9942999999821174,2.0074999999999994,2.020899999976158,2.034199999988078,2.0475999999940386,2.0606999999880786,2.0793999999761565,2.087599999994038,2.0977999999821177,2.113299999982117,2.127,2.1421999999880788,2.1548999999761564,2.1672999999821174,2.180799999982118,2.195299999982118,2.2042999999821182,2.2220999999940387,2.235399999976157,2.2442999999821174,2.257699999988078,2.2713999999761567]",return,0.5779,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,
,,A000000000,2022-11-28_21h47.54.963,GoFitts,2022.2.4,Win32,75.43184733,,,,,,,,,,,,,,return,0.3728,,,,,,,,,,,,,,,,,,,,,,,
,,A000000000,2022-11-28_21h47.54.963,GoFitts,2022.2.4,Win32,75.43184733,,,,,,,,,,,,,,,,return,0.3405,"[154,-66]","[182.70909152852016,81.34732861516002]",48,400,0,"[154,151,151,149,148,147,146,146,146,145,145,145,145,144,143,143,143,142,142,142,142,142,143,143,147,151,157,166,174,182,189,194,199,202,203,204,204]","[-66,-65,-65,-63,-62,-62,-61,-61,-60,-59,-59,-59,-58,-57,-56,-56,-56,-56,-56,-56,-54,-50,-46,-38,-29,-20,-10,4,15,25,34,42,49,56,62,68,72]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0011999999880796253,0.016299999982118507,0.02609999999403989,0.042500000000000426,0.053000000000000824,0.07200000000000095,0.08399999999999963,0.09590000000596,0.10919999998807839,0.1194000000059603,0.1355999999940405,0.1461999999880792,0.16279999998211814,0.17609999999404025,0.19119999998807913,0.20279999998211906,0.21269999998807876,0.22629999998211936,0.23919999998807917,0.2556999999880798,0.2692999999821186,0.28259999999403895,0.29269999998807883,0.30869999998807884,0.3224999999999998,0.3357999999821182,0.3490999999940403,0.3624000000059606,0.3757999999821191,0.38899999999999935,0.4021999999880794,0.41569999998807994,0.42909999999404036,0.44229999998211866,0.455599999994039,0.4690999999940395,0.4820999999940394]",,0,0,0,0,1,,,,
,,A000000000,2022-11-28_21h47.54.963,GoFitts,2022.2.4,Win32,75.43184733,,,,,,,,,,,,,,,,,,"[182.70909152852016,81.34732861516002]","[-161.80339887498948,-117.5570504584946]",48,400,0,"[204,203,200,197,196,195,194,192,191,184,175,160,144,111,91,67,41,18,-4,-28,-48,-67,-82,-95,-102,-111,-118,-122,-128,-132,-136,-138,-139,-139,-139,-139,-139,-139,-142]","[72,77,81,85,87,88,89,89,89,86,78,67,56,34,22,7,-15,-37,-57,-75,-90,-102,-111,-119,-123,-125,-126,-127,-127,-127,-127,-127,-127,-127,-127,-127,-127,-127,-126]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0002999999821184929,0.013299999982118393,0.026500000000000412,0.039799999982118806,0.05329999998211932,0.06659999999403965,0.07699999999999996,0.09299999999999997,0.10369999998807877,0.1199000000059609,0.1332999999821194,0.14649999999999963,0.15690000000595994,0.17309999999404013,0.18359999999404053,0.19690000000596086,0.21309999999403928,0.22669999998807988,0.2397999999821181,0.2532999999821186,0.2665000000000006,0.279799999982119,0.29309999999403935,0.30659999999403986,0.3200000000000003,0.3331999999880786,0.346599999994039,0.3599000000059611,0.3730999999940394,0.38649999999999984,0.39979999998211824,0.41350000000000087,0.4265999999940391,0.4399000000059612,0.4529999999999994,0.4634000000059615,0.4766999999880799,0.4900999999940403,0.5037999999821192]",,1,0,1,0,1,,,,
,,A000000000,2022-11-28_21h47.54.963,GoFitts,2022.2.4,Win32,75.43184733,,,,,,,,,,,,,,,,,,"[-161.80339887498948,-117.5570504584946]","[133.82612127177165,148.62896509547886]",48,400,0,"[-142,-143,-145,-147,-147,-147,-147,-147,-145,-138,-130,-120,-109,-85,-57,-31,-3,24,45,61,72,78,82,83,85,86,88,90,93,98,100,104,107,110,115,118]","[-126,-123,-122,-122,-121,-121,-119,-114,-107,-97,-85,-72,-61,-37,-14,8,29,48,62,74,82,89,93,96,98,101,103,106,109,113,114,118,121,124,129,136]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0003000000119204316,0.016199999988078417,0.029099999994040004,0.04280000001192086,0.052800000011920645,0.06619999998807913,0.07949999999999946,0.09590000000596,0.10899999999999999,0.1226999999880789,0.13580000001192083,0.1491999999880793,0.15959999999403962,0.17590000000596007,0.18909999999404015,0.20250000000000057,0.21569999998807887,0.2290999999940393,0.24249999999999972,0.2558000000119218,0.2690999999940402,0.28240000000596055,0.29569999998807894,0.30909999999403936,0.3224999999999998,0.33569999998807987,0.3490999999940403,0.3624000000059606,0.3755999999940389,0.39250000000000007,0.39940000000596143,0.4159000000059603,0.4293000000119207,0.43950000000000067,0.4556999999880791,0.4690999999940395]",,2,0,2,0,1,,,,
,,A000000000,2022-11-28_21h47.54.963,GoFitts,2022.2.4,Win32,75.43184733,,,,,,,,,,,,,,,,,,"[133.82612127177165,148.62896509547886]","[-100.00000000000009,-173.2050807568877]",48,400,0,"[118,122,126,129,131,131,131,131,131,128,120,103,81,56,27,-3,-27,-50,-63,-73,-80,-84,-88,-91,-93,-93,-93,-93,-93,-92]","[136,141,146,150,152,152,152,152,152,146,134,113,89,60,32,9,-12,-35,-54,-70,-84,-96,-106,-115,-122,-128,-135,-141,-147,-153]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0002999999821184929,0.013099999994038214,0.026299999982118294,0.03989999997615712,0.05319999998807923,0.06659999999403965,0.07979999998211795,0.09009999999403817,0.10359999999403868,0.11999999999999922,0.13299999999999912,0.14659999999403972,0.15979999998211802,0.17309999999403836,0.18649999999999878,0.19989999997615726,0.21309999999403928,0.22639999997615767,0.2397999999821181,0.2532999999821186,0.2663999999761568,0.27999999999999936,0.29319999998807766,0.30659999999403986,0.31979999998211817,0.3331999999880786,0.3463999999761569,0.3597999999821173,0.3730999999940394,0.3863999999761578]",,3,0,3,0,1,,,,
,,A000000000,2022-11-28_21h47.54.963,GoFitts,2022.2.4,Win32,75.43184733,,,,,,,,,,,,,,,,,,"[-100.00000000000009,-173.2050807568877]","[61.80339887498949,190.2113032590307]",48,400,0,"[-92,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-90,-86,-79,-67,-47,-23,-1,21,35,45,51,56]","[-153,-157,-160,-164,-166,-169,-169,-169,-169,-169,-169,-159,-136,-107,-64,-12,36,74,107,133,154,168,182]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00009999999404008975,0.01309999999403999,0.026599999994040502,0.039699999988078716,0.053000000000000824,0.06659999999403965,0.08000000000000007,0.09280000001192157,0.10330000001192197,0.11969999998807879,0.13000000000000078,0.14640000000596132,0.15980000001192174,0.17319999998808022,0.18640000000596046,0.19969999998807886,0.21319999998807937,0.2264000000059614,0.23969999998807978,0.2530000000000001,0.2665000000000006,0.2765999999940405,0.29330000001192147]",,4,0,4,0,1,,,,
,,A000000000,2022-11-28_21h47.54.963,GoFitts,2022.2.4,Win32,75.43184733,,,,,,,,,,,,,,,,,,"[61.80339887498949,190.2113032590307]","[-20.905692653530846,-198.90437907365467]",48,400,0,"[56,59,62,62,63,64,64,64,64,64,64,64,64,64,61,56,48,36,22,9,-5,-16,-23,-28,-32,-34,-36,-36,-36,-36,-36,-36,-36,-36,-35,-34]","[182,190,194,198,201,203,204,205,207,208,208,208,208,208,203,189,163,124,80,34,-12,-53,-88,-113,-133,-147,-159,-165,-171,-173,-174,-174,-174,-177,-178,-183]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0001999999880801795,0.014000000000001123,0.02609999999403989,0.0366999999880786,0.053000000000000824,0.06649999999999956,0.07959999999403955,0.09309999999404006,0.1064000000059604,0.11959999999404047,0.1299000000059607,0.1433000000119211,0.1565000000000012,0.17300000000000004,0.18619999998808012,0.19959999999404054,0.21290000000596088,0.2264999999999997,0.23969999998807978,0.25290000000596,0.26640000000596054,0.2795000000000005,0.29309999999403935,0.30609999999403925,0.3194999999999997,0.3329000000059601,0.3463000000119205,0.3595999999940407,0.3730999999940394,0.3860999999940393,0.3996999999880799,0.41280000001192185,0.4263000000119206,0.43659999999404064,0.449900000005961,0.4664000000059616]",,5,0,5,0,1,,,,
,,A000000000,2022-11-28_21h47.54.963,GoFitts,2022.2.4,Win32,75.43184733,,,,,,,,,,,,,,,,,,"[-20.905692653530846,-198.90437907365467]","[-20.905692653530668,198.90437907365467]",48,400,0,"[-34,-32,-32,-32,-31,-31,-31,-31,-31,-31,-30,-27,-24,-22,-22,-24,-27,-29,-31,-32,-32,-32,-32]","[-183,-184,-185,-187,-187,-188,-188,-188,-188,-188,-186,-175,-150,-108,-69,-20,20,66,108,140,163,177,185]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0001999999880801795,0.013500000000000512,0.026599999994040502,0.039699999988078716,0.053300000011921256,0.06659999999403965,0.07669999998807953,0.09309999999404006,0.10709999999403941,0.1168000000119207,0.13230000001192188,0.1435000000000013,0.15680000001192163,0.17300000000000004,0.18630000001192215,0.19959999999404054,0.21300000000000097,0.2264000000059614,0.2398000000119218,0.2530000000000001,0.2665000000000006,0.2795999999940406,0.29340000000596156]",,6,0,6,0,1,,,,
