身分證字號,date,expName,psychopyVersion,OS,frameRate,from,to,w,a,id,sequence_loop.thisN,enter_time,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,trial_loop.ran,leave_time,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisIndex,sequence_loop.ran
S111111111,2024-11-27_18h08.23.739,GoFitts,2023.2.3,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,
S111111111,2024-11-27_18h08.23.739,GoFitts,2023.2.3,Win32,30.03003003,,,,,,,,,,,,,,,,,,,,,,,
S111111111,2024-11-27_18h08.23.739,GoFitts,2023.2.3,Win32,30.03003003,"[21.20361328125,-181.4814453125]","[-27.479424841121944,-261.4492629308498]",27,525.7787971,5.32,0,0.8013,"[21.20361328125,21.20361328125,21.20361328125,21.20361328125,21.20361328125,21.20361328125,21.20361328125,21.20361328125,21.20361328125,21.20361328125,22.6851806640625,22.6851806640625,20.4627685546875,18.9814453125,16.7591552734375,11.573974609375,-3.2408447265625,-14.3519287109375,-21.0185546875,-41.0185546875,-41.75927734375,-41.75927734375,-35.8333740234375,-35.8333740234375,-34.3519287109375,-23.2408447265625,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875]","[-181.4814453125,-181.4814453125,-181.4814453125,-181.4814453125,-181.4814453125,-181.4814453125,-181.4814453125,-181.4814453125,-181.4814453125,-180.74072265625,-167.4073486328125,-137.77777099609375,-96.2962646484375,-85.9259033203125,-87.4073486328125,-135.5555419921875,-168.88885498046875,-188.14813232421875,-200.74072265625,-229.629638671875,-237.7777099609375,-242.22216796875,-261.4814453125,-262.22216796875,-261.4814453125,-251.111083984375,-249.629638671875,-249.629638671875,-251.111083984375,-252.592529296875,-252.592529296875,-252.592529296875,-252.592529296875,-252.592529296875,-252.592529296875,-252.592529296875,-252.592529296875,-252.592529296875]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.0005999999940407008,0.026799999997020763,0.0587000000029807,0.0952000000029809,0.13209999999403976,0.14339999999105935,0.20839999999106062,0.24829999999701968,0.2870999999940409,0.31400000000000006,0.35059999999404035,0.3873999999910591,0.42609999999404025,0.4652999999970202,0.5017000000029803,0.5368999999910606,0.5715000000000003,0.6085000000000012,0.64539999999106,0.6840999999940394,0.7347000000029809,0.7642999999970197,0.8012999999970205,0.8297999999970198,0.8577000000029802,0.894700000002981,0.9212999999970197,0.97239999999106,0.9992999999970209,1.0453999999910604,1.0810000000000013,1.0925999999940395,1.1483999999910601,1.185500000000001,1.22529999999702,1.230500000000001,1.2975999999940395,1.3345000000000002]",0,0,0,0,1,,,,,
S111111111,2024-11-27_18h08.23.739,GoFitts,2023.2.3,Win32,30.03003003,"[-27.479424841121944,-261.4492629308498]","[-27.479424841121705,261.44926293084984]",27,525.7787971,5.32,0,1.2506,"[-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-21.0185546875,-19.5372314453125,-17.3148193359375,-28.426025390625,-47.6851806640625,-58.0555419921875,-66.2037353515625,-67.6851806640625,-69.166748046875,-70.648193359375,-70.648193359375,-69.907470703125,-61.75927734375,-43.9815673828125,-43.2408447265625,-43.2408447265625,-43.2408447265625,-43.2408447265625,-43.2408447265625,-43.2408447265625,-43.2408447265625,-43.2408447265625,-43.2408447265625,-42.5,-37.3148193359375,-37.3148193359375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375]","[-252.592529296875,-252.592529296875,-252.592529296875,-252.592529296875,-252.592529296875,-252.592529296875,-252.592529296875,-252.592529296875,-252.592529296875,-252.592529296875,-252.592529296875,-253.333251953125,-228.888916015625,-136.2962646484375,-6.6666259765625,99.25927734375,150.370361328125,185.92596435546875,191.85186767578125,211.1112060546875,242.22222900390625,250.370361328125,252.59259033203125,255.55560302734375,262.22222900390625,262.96295166015625,262.96295166015625,262.96295166015625,262.96295166015625,262.96295166015625,262.96295166015625,262.96295166015625,262.96295166015625,262.96295166015625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00009999999403831339,0.03339999999105814,0.03879999999701944,0.10609999999403819,0.14499999999999957,0.18019999998807812,0.21639999999105797,0.251299999997018,0.2872999999970194,0.32329999999701897,0.3582999999970191,0.39089999999105807,0.42879999999701823,0.4618999999910578,0.49099999999999966,0.5208999999910588,0.5473999999910593,0.5800999999940384,0.6082999999970191,0.659099999994039,0.7039999999999988,0.7300999999940387,0.7669999999999995,0.8032999999970194,0.850199999988078,0.8877999999970196,0.9239999999999995,0.9599999999999991,0.9954999999999998,1.0329999999999995,1.069599999994038,1.106799999997019,1.1464999999999996,1.1548999999910592,1.222299999997018,1.250699999988079,1.2858999999910576,1.3251999999880777,1.3738999999910586,1.413499999999999,1.439699999988079,1.4790999999940393,1.5080999999940392,1.5363999999910583,1.5724999999999998,1.6100999999940395,1.6472999999970188,1.6820999999940387,1.7107999999970183,1.7209999999999983,1.7654999999999994]",1,0,1,0,1,0.4286,,,,
S111111111,2024-11-27_18h08.23.739,GoFitts,2023.2.3,Win32,30.03003003,"[-27.479424841121705,261.44926293084984]","[81.23729179689803,-250.0226755680155]",27,525.7787971,5.32,0,0.8196,"[-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-35.8333740234375,-34.3519287109375,-15.8333740234375,23.4259033203125,51.573974609375,70.833251953125,70.092529296875,69.351806640625,69.351806640625,69.351806640625,72.3148193359375,73.7962646484375,73.7962646484375,73.7962646484375,74.5369873046875,76.0184326171875,76.7591552734375,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5]","[263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,263.7037353515625,262.96295166015625,243.7037353515625,160,39.25927734375,-92.59259033203125,-107.4073486328125,-137.77777099609375,-151.111083984375,-172.59259033203125,-198.51849365234375,-205.9259033203125,-208.14813232421875,-215.5555419921875,-221.4814453125,-239.25927734375,-245.1851806640625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.0432000000029813,0.07890000000596054,0.1120000000000001,0.14920000000298117,0.18720000000297965,0.20240000000596048,0.2609000000059609,0.29790000000595995,0.32529999999701964,0.365600000008941,0.40249999999999986,0.4382999999970192,0.48460000000894077,0.5050000000000008,0.5495000000000001,0.5707999999970195,0.6070000000000011,0.6594999999999995,0.6857999999970197,0.7227999999970205,0.7542000000029798,0.7810000000000006,0.8196000000089416,0.8606000000089402,0.896100000008941,0.9419000000059601,0.9747999999970194,0.9849999999999994,1.0062999999970206,1.042900000005961,1.1197000000029806,1.157,1.1939000000059607,1.2287000000029806,1.2347000000029809,1.2699000000059613,1.285600000008941,1.301700000002981,1.3594000000059605]",2,0,2,0,1,0.3655,,,,
S111111111,2024-11-27_18h08.23.739,GoFitts,2023.2.3,Win32,30.03003003,"[81.23729179689803,-250.0226755680155]","[-131.44469928137406,227.6688975409523]",27,525.7787971,5.32,0,0.9882,"[77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,77.5,53.7962646484375,31.573974609375,-10.648193359375,-25.4630126953125,-37.3148193359375,-39.5372314453125,-47.6851806640625,-55.0926513671875,-75.0926513671875,-106.2037353515625,-107.6851806640625,-110.648193359375,-115.8333740234375,-118.79638671875,-118.79638671875,-119.537109375,-123.9815673828125,-123.9815673828125,-123.9815673828125,-123.9815673828125,-123.9815673828125,-123.9815673828125,-123.9815673828125,-123.9815673828125,-123.9815673828125,-123.9815673828125,-123.9815673828125,-123.9815673828125,-123.9815673828125,-124.7222900390625,-124.7222900390625,-126.2037353515625]","[-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-248.1480712890625,-245.9259033203125,-236.2962646484375,-124.44439697265625,-68.88885498046875,34.8148193359375,79.25927734375,105.92596435546875,108.148193359375,122.9630126953125,133.3333740234375,150.370361328125,169.629638671875,176.29632568359375,182.9630126953125,190.370361328125,197.03704833984375,208.888916015625,215.55560302734375,221.48150634765625,222.22222900390625,222.22222900390625,222.22222900390625,222.22222900390625,222.22222900390625,222.22222900390625,222.22222900390625,222.22222900390625,222.22222900390625,222.22222900390625,222.22222900390625,224.4444580078125,229.629638671875,233.3333740234375,237.03704833984375]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00010000000894194727,0.03530000001192235,0.07160000000894229,0.07690000000596164,0.14440000000596065,0.18020000000298175,0.21620000000298134,0.25210000000894084,0.29170000000298124,0.32750000000000057,0.36020000000298147,0.3896000000089419,0.4069000000059617,0.44520000000298054,0.4827000000029802,0.5268000000119208,0.5625,0.6023000000119225,0.6389999999999993,0.6782000000029811,0.7187000000029826,0.7602000000029818,0.7958000000119227,0.8317000000029822,0.8724000000059604,0.9115000000000002,0.9469000000059609,0.9882000000029798,1.0264000000059603,1.07260000000894,1.1086000000089413,1.1438000000119217,1.1718000000119204,1.1990000000000016,1.226100000008941,1.26160000000894,1.2950000000000017,1.3064000000059615,1.367800000011922,1.399000000000001,1.4269000000059613,1.44760000000894,1.4959000000059604]",3,0,3,0,1,0.3601,,,,
S111111111,2024-11-27_18h08.23.739,GoFitts,2023.2.3,Win32,30.03003003,"[-131.44469928137406,227.6688975409523]","[175.90734266560733,-195.3648962147706]",27,525.7787971,5.32,0,1.049,"[-126.2037353515625,-126.2037353515625,-126.2037353515625,-126.2037353515625,-126.2037353515625,-126.2037353515625,-126.2037353515625,-126.2037353515625,-126.2037353515625,-126.2037353515625,-124.7222900390625,-118.0555419921875,-46.9444580078125,126.3887939453125,198.9814453125,201.9443359375,201.9443359375,201.9443359375,203.4259033203125,203.4259033203125,198.9814453125,194.5369873046875,190.833251953125,190.833251953125,190.833251953125,190.833251953125,190.833251953125,190.833251953125,188.611083984375,185.6480712890625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625]","[237.03704833984375,237.03704833984375,237.03704833984375,237.03704833984375,237.03704833984375,237.03704833984375,237.03704833984375,237.03704833984375,237.03704833984375,237.03704833984375,237.77777099609375,231.85186767578125,176.29632568359375,21.48150634765625,-72.59259033203125,-86.6666259765625,-98.51849365234375,-115.5555419921875,-145.1851806640625,-151.111083984375,-162.22216796875,-171.111083984375,-181.4814453125,-181.4814453125,-181.4814453125,-181.4814453125,-181.4814453125,-181.4814453125,-185.1851806640625,-189.62957763671875,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.03629999999701994,0.041700000002979465,0.10829999999701911,0.1442000000029786,0.17979999999701946,0.21759999999403945,0.2530000000000001,0.2579999999999991,0.3292999999970192,0.36759999999403803,0.3944999999999972,0.4307999999970171,0.46770000000297784,0.5187000000029798,0.5452999999970167,0.586399999991059,0.6137000000029786,0.6597999999970199,0.6869999999999976,0.7232999999970176,0.7644999999999982,0.8009999999999984,0.8487999999970199,0.8880999999940364,0.9167000000029795,0.9442999999970176,0.9787000000029771,1.010700000002977,1.0490999999940378,1.0864999999999974,1.1317000000029793,1.1687000000029784,1.2052999999970169,1.24270000000298,1.2808999999910569,1.3155999999940384,1.3447000000029803,1.3574999999999982,1.4163999999910573,1.453299999997018,1.489599999994038,1.5275999999940382,1.5630999999940371]",4,0,4,0,1,0.3944,,,,
S111111111,2024-11-27_18h08.23.739,GoFitts,2023.2.3,Win32,30.03003003,"[175.90734266560733,-195.3648962147706]","[-212.68199107827218,154.52251145922153]",27,525.7787971,5.32,0,0.8008,"[184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,184.1666259765625,181.20361328125,170.833251953125,57.5,-39.5372314453125,-78.79638671875,-89.907470703125,-102.5,-106.9444580078125,-117.3148193359375,-133.6112060546875,-142.5,-152.129638671875,-169.907470703125,-179.537109375,-208.426025390625,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875]","[-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-191.111083984375,-190.370361328125,-182.96295166015625,-102.96295166015625,-16.2962646484375,26.66668701171875,44.4444580078125,65.1851806640625,73.3333740234375,88.888916015625,104.4444580078125,111.11114501953125,118.51861572265625,131.85186767578125,137.03704833984375,147.40740966796875,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0.03529999999702227,0.04259999999403874,0.10900000000000176,0.1460999999940391,0.18299999999999983,0.22320000000297924,0.26000000000000156,0.29729999999701917,0.32409999999403993,0.36890000000596146,0.39920000000298117,0.4312999999970195,0.4604999999999997,0.4982999999970197,0.5365000000000002,0.5727999999970201,0.6095000000000006,0.6465999999940415,0.6870999999940395,0.7357000000029821,0.7627999999970214,0.8007999999970217,0.8362999999970206,0.88229999999702,0.9185000000000016,0.9594000000059602,0.9755999999940386,1.0327000000029827,1.071799999997019,1.1057999999970214,1.1432999999970193,1.1587999999970222,1.2185000000000024,1.2552999999970211,1.2905000000000015,1.2955000000000005,1.3624000000059624]",5,0,5,0,1,0.3688,,,,
S111111111,2024-11-27_18h08.23.739,GoFitts,2023.2.3,Win32,30.03003003,"[-212.68199107827218,154.52251145922153]","[240.16141591939396,-106.9267514716283]",27,525.7787971,5.32,0,0.8796,"[-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-221.0185546875,-219.537109375,-205.4630126953125,-116.5740966796875,-65.4630126953125,42.6851806640625,85.64794921875,96.0184326171875,104.9073486328125,116.7591552734375,155.2777099609375,203.4259033203125,210.092529296875,210.092529296875,210.092529296875,211.573974609375,216.0184326171875,225.6480712890625,227.1295166015625,228.611083984375,230.833251953125,231.573974609375,231.573974609375,231.573974609375,231.573974609375,231.573974609375,231.573974609375,231.573974609375,231.573974609375,231.573974609375,231.573974609375,231.573974609375,231.573974609375,231.573974609375]","[151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,151.85186767578125,150.370361328125,140,85.1851806640625,57.77783203125,2.22222900390625,-15.5555419921875,-21.4814453125,-27.40740966796875,-36.2962646484375,-57.0369873046875,-74.07403564453125,-76.2962646484375,-76.2962646484375,-77.0369873046875,-81.4814453125,-91.851806640625,-108.14813232421875,-109.62957763671875,-109.62957763671875,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00010000000894194727,0.031900000005961715,0.04720000000298086,0.0625,0.10070000000298052,0.13610000000894118,0.1693000000119227,0.19620000000298177,0.21120000000298234,0.2487000000029802,0.2658000000119216,0.3030000000000008,0.3493000000119224,0.3749000000059617,0.41160000000894215,0.4559000000059612,0.4864999999999995,0.5118000000119238,0.5482000000029821,0.5986000000089433,0.6346000000089411,0.6626000000089434,0.7068000000119206,0.7432000000029824,0.7762000000029801,0.802500000000002,0.8522000000029806,0.8796000000089421,0.915200000002983,0.9592000000029799,0.9911000000089416,1.027100000008943,1.0562000000029812,1.0866000000089429,1.1146000000089415,1.1452000000029798,1.160600000008941,1.2178000000119233,1.2568000000119213,1.293700000002982,1.2986000000089426,1.332200000002981,1.403300000011921]",6,0,6,0,1,0.303,,,,
S111111111,2024-11-27_18h08.23.739,GoFitts,2023.2.3,Win32,30.03003003,"[240.16141591939396,-106.9267514716283]","[-257.14463446250534,54.65777935324481]",27,525.7787971,5.32,0,0.9568,"[231.573974609375,231.573974609375,231.573974609375,231.573974609375,231.573974609375,231.573974609375,231.573974609375,231.573974609375,229.351806640625,218.24072265625,144.1666259765625,44.1666259765625,-49.166748046875,-116.5740966796875,-152.870361328125,-164.722412109375,-172.129638671875,-184.722412109375,-186.9444580078125,-195.8333740234375,-205.4630126953125,-215.0926513671875,-221.0185546875,-233.6112060546875,-235.8333740234375,-236.5740966796875,-236.5740966796875,-236.5740966796875,-254.3519287109375,-256.5740966796875,-256.5740966796875,-256.5740966796875,-256.5740966796875,-256.5740966796875,-256.5740966796875,-256.5740966796875,-256.5740966796875,-256.5740966796875,-256.5740966796875,-256.5740966796875,-256.5740966796875,-256.5740966796875,-256.5740966796875,-256.5740966796875]","[-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-110.370361328125,-103.70367431640625,-62.96295166015625,-25.1851806640625,2.9630126953125,18.5185546875,25.1851806640625,28.148193359375,29.629638671875,32.59259033203125,32.59259033203125,32.59259033203125,35.55560302734375,40,40.74078369140625,45.926025390625,48.148193359375,49.629638671875,49.629638671875,49.629638671875,56.29632568359375,57.03704833984375,57.03704833984375,57.03704833984375,57.03704833984375,57.03704833984375,57.03704833984375,57.03704833984375,57.03704833984375,57.03704833984375,57.03704833984375,57.03704833984375,57.03704833984375,57.03704833984375,57.03704833984375,57.03704833984375]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.00009999999403831339,0.034499999999997755,0.06349999999999767,0.07179999999701892,0.11889999999105783,0.1227999999970173,0.17709999999403792,0.21339999999105785,0.24859999999403826,0.2717000000029799,0.3082999999970184,0.34070000000297895,0.37779999999701985,0.4177000000029807,0.46339999999105785,0.4938999999910578,0.5203999999910565,0.5667999999970199,0.5939999999999976,0.6303999999910594,0.676299999997017,0.704799999997018,0.7327999999970203,0.7688999999910564,0.8059999999999974,0.8503999999910583,0.88079999999702,0.8882000000029784,0.9568999999910588,0.9764999999999979,1.0107000000029807,1.0577000000029777,1.094200000002978,1.1050999999940387,1.1547999999970173,1.1870999999940395,1.192399999991057,1.2474999999999987,1.296999999999997,1.3338999999910577,1.3722999999970185,1.408200000002978,1.4214999999999982,1.4838999999910598]",7,0,7,0,1,0.2715,,,,
